zipcode,2011,2012,2013,2014,2015
20007,742233.333333,764650.0,831241.666667,889200.0,913800.0
20008,677308.333333,702225.0,758466.666667,763183.333333,776425.0
20009,429750.0,446300.0,476800.0,502533.333333,515458.333333
20010,392933.333333,436983.333333,509175.0,558600.0,600075.0
20011,299708.333333,330050.0,403350.0,458025.0,492658.333333
20012,440000.0,483666.666667,544366.666667,611450.0,642741.666667
20015,808641.666667,845958.333333,901775.0,937891.666667,962391.666667
20020,184975.0,190108.333333,217541.666667,244400.0,268133.333333
20036,312566.666667,317133.333333,348033.333333,362141.666667,357108.333333
20037,426741.666667,447908.333333,468875.0,486875.0,497900.0
20136,351991.666667,363516.666667,386400.0,412766.666667,417841.666667
20166,307041.666667,311733.333333,337400.0,358566.666667,359633.333333
20191,365250.0,368466.666667,399483.333333,424000.0,415716.666667
20646,301858.333333,294050.0,295458.333333,311225.0,310975.0
20695,277366.666667,270291.666667,278050.0,296250.0,310266.666667
20710,126375.0,127925.0,150600.0,171000.0,192966.666667
20716,230383.333333,218541.666667,238583.333333,263850.0,265933.333333
20724,252275.0,248633.333333,265683.333333,279025.0,279983.333333
20744,208875.0,207516.666667,232041.666667,250766.666667,261150.0
20747,155641.666667,145058.333333,155283.333333,180150.0,191341.666667
20770,139958.333333,128066.66666700001,141991.666667,150516.666667,150058.333333
20774,224675.0,212691.666667,227641.666667,253000.0,267850.0
20816,798775.0,807216.666667,833975.0,870766.666667,871833.333333
20817,756316.666667,762450.0,788350.0,828508.333333,823591.666667
20850,486875.0,489983.333333,510016.666667,541000.0,530966.666667
20851,280058.333333,287233.333333,311966.666667,339425.0,333616.666667
20853,353108.333333,357325.0,386550.0,403808.333333,409875.0
20871,379283.333333,371825.0,394183.333333,420175.0,419108.333333
20874,236558.333333,238275.0,258233.333333,278266.666667,276008.333333
20879,237625.0,240216.666667,259800.0,278133.333333,282141.666667
20904,339183.333333,339333.333333,354700.0,376725.0,373258.333333
20910,444550.0,446758.333333,472716.666667,492908.333333,501008.333333
21012,341883.333333,346641.666667,370891.666667,380733.333333,383091.666667
21078,243575.0,235325.0,239458.333333,240650.0,235116.666667
21117,220775.0,212991.666667,219758.333333,224608.333333,228016.666667
21133,191891.666667,182175.0,191483.333333,197050.0,199966.666667
21136,228500.0,222716.666667,229825.0,234175.0,232750.0
21208,206308.333333,195525.0,200508.333333,211375.0,220958.333333
21209,246366.666667,245266.666667,257083.333333,263433.333333,274291.666667
21216,69391.666667,64891.666667,62725.0,66716.666667,60591.666667
21702,213975.0,211083.333333,228283.333333,242850.0,244741.666667
21704,357241.666667,362733.333333,380600.0,398491.666667,400166.666667
21795,173616.666667,169858.333333,172208.333333,179191.666667,178108.333333
22015,404791.666667,414316.666667,439666.666667,468333.333333,465433.333333
22030,433483.333333,444183.333333,469500.0,500691.666667,504475.0
22031,412025.0,421300.0,446841.666667,477841.666667,483541.666667
22041,262250.0,261250.0,281150.0,301308.333333,297666.666667
22079,352791.666667,363075.0,392758.333333,420833.333333,423933.333333
22102,434758.333333,444216.666667,477400.0,517183.333333,518966.666667
22181,627241.666667,637550.0,671383.333333,710183.333333,709925.0
22201,517558.333333,530508.333333,560133.333333,590983.333333,588241.666667
22202,539116.666667,543500.0,574058.333333,613658.333333,607716.666667
22204,386091.666667,398408.333333,436233.333333,456025.0,459358.333333
22209,525033.333333,539375.0,571650.0,598875.0,516866.666667
22301,585883.333333,596241.666667,630741.666667,682525.0,692383.333333
22306,349216.666667,359800.0,383158.333333,408341.666667,405716.666667
22485,222750.0,226166.666667,228341.666667,243991.666667,248700.0
22630,146383.333333,148441.666667,163216.666667,176383.333333,186975.0
22645,190991.666667,188466.666667,195666.666667,211866.666667,229716.666667
22901,,,,,
23060,213808.333333,216183.333333,226250.0,236725.0,244883.333333
23112,202600.0,202766.666667,207075.0,216666.666667,224016.666667
23188,283366.666667,276108.333333,273291.666667,284366.666667,298700.0
23224,85300.0,80308.333333,81825.0,82458.333333,82708.333333
23226,230633.333333,231658.333333,243491.666667,260291.666667,269000.0
23227,171850.0,170150.0,174708.333333,179075.0,189175.0
23294,167183.333333,164766.666667,169066.666667,173750.0,179916.666667
23452,206900.0,203766.666667,214075.0,219350.0,220166.666667
23455,255575.0,252500.0,258366.666667,265375.0,268058.333333
23456,298450.0,296975.0,312033.333333,321100.0,324166.666667
23462,181541.666667,176758.333333,179741.666667,183691.666667,185733.333333
23605,131816.666667,126283.33333299999,123791.66666700001,124191.66666700001,121491.66666700001
23692,268366.666667,263016.666667,264258.333333,273608.333333,276625.0
23696,270566.666667,263391.666667,265141.666667,281800.0,278308.333333
23831,182616.666667,182391.666667,188575.0,191075.0,193583.333333
23832,178908.333333,175958.333333,181016.666667,187683.333333,191575.0
25177,83591.666667,83608.333333,82591.666667,86016.666667,88950.0
27012,180825.0,179525.0,178308.333333,186458.333333,188050.0
27054,128450.0,118341.66666700001,121458.33333299999,129341.66666700001,130300.0
27203,76700.0,74041.666667,76108.333333,77666.666667,78591.666667
27332,145033.333333,139466.666667,135008.333333,143325.0,140925.0
27408,158166.666667,158900.0,165716.666667,169058.333333,173016.666667
27410,174716.666667,176875.0,180650.0,186108.333333,189900.0
27560,210333.333333,213191.666667,225966.666667,241541.666667,254975.0
27587,225091.666667,224891.666667,230825.0,244308.333333,256516.666667
27601,127491.66666700001,133625.0,135533.333333,128366.66666700001,122911.11111099999
27605,183283.333333,186083.333333,186483.333333,198341.666667,208508.333333
27614,320016.666667,325558.333333,338100.0,356275.0,365158.333333
27615,233691.666667,235700.0,243816.666667,256633.333333,267941.666667
27703,128916.66666700001,128400.0,130875.0,137658.333333,142783.333333
27704,118758.33333299999,118658.33333299999,117675.0,122633.33333299999,127941.66666700001
27834,86591.666667,84050.0,82616.666667,80583.333333,80741.666667
28107,158091.666667,158633.333333,161158.333333,173883.333333,181508.333333
28110,141808.333333,141200.0,143591.666667,149408.333333,155808.333333
28117,266375.0,272166.666667,272991.666667,299400.0,320033.333333
28210,211775.0,207675.0,223466.666667,243291.666667,257400.0
28214,102766.666667,102675.0,106316.666667,114833.33333299999,122025.0
28215,98741.666667,96100.0,102150.0,114083.33333299999,120916.66666700001
28262,117941.66666700001,117283.33333299999,123591.66666700001,135616.666667,142075.0
28269,134041.666667,134025.0,140975.0,149875.0,157683.333333
28270,252791.666667,260241.666667,275366.666667,288808.333333,298733.333333
28273,128450.0,127583.33333299999,137325.0,147808.333333,155583.333333
28277,238750.0,244125.0,259075.0,279275.0,295033.333333
28303,116733.33333299999,113300.0,110383.33333299999,108358.33333299999,106600.0
28374,257741.666667,252433.333333,263791.666667,272766.666667,276012.5
28403,154825.0,151800.0,159850.0,168933.333333,173066.666667
28457,142700.0,138741.666667,133450.0,144858.333333,149791.666667
28601,119900.0,115483.33333299999,118108.33333299999,126416.66666700001,128275.0
28723,174750.0,183825.0,188250.0,180550.0,160275.0
28731,204016.666667,200575.0,202558.333333,209508.333333,226941.666667
28748,184075.0,189016.666667,194033.333333,205158.333333,213316.666667
28773,237133.333333,228233.333333,225583.333333,225366.666667,235100.0
28787,208733.333333,208658.333333,217066.666667,224933.333333,227858.333333
28801,203691.666667,205575.0,216366.666667,235441.666667,255966.666667
29072,172750.0,167591.666667,166416.666667,173691.666667,177650.0
29073,120341.66666700001,112458.33333299999,113991.66666700001,117083.33333299999,118408.33333299999
29206,,,,,192050.0
29306,66983.333333,64100.0,63891.666667,64091.666667,63708.333333
29334,122733.33333299999,123566.66666700001,122316.66666700001,126108.33333299999,132533.333333
29406,102100.0,96708.333333,101125.0,113100.0,122491.66666700001
29576,,,,,197500.0
29591,68841.666667,66625.0,68775.0,73716.666667,79466.666667
29640,101933.333333,98141.666667,103316.666667,104791.666667,109308.33333299999
29687,127766.66666700001,124383.33333299999,129700.0,135308.333333,140641.666667
29803,143100.0,138441.666667,134691.666667,143150.0,145875.0
29907,219241.666667,216233.333333,215358.333333,218916.666667,223141.666667
30008,94541.666667,87858.333333,95083.333333,113025.0,125516.66666700001
30019,162083.333333,154525.0,172458.333333,196516.666667,208175.0
30022,270216.666667,276175.0,301758.333333,332025.0,351616.666667
30034,63783.333333,58008.333333,64691.666667,77700.0,86216.666667
30040,195400.0,192650.0,210850.0,230150.0,242150.0
30043,144066.666667,139000.0,151608.333333,172358.333333,181841.666667
30044,106050.0,93716.666667,103925.0,129100.0,139616.666667
30047,148425.0,135600.0,143150.0,162650.0,167616.666667
30052,118175.0,129525.0,125708.33333299999,149525.0,163491.666667
30067,160075.0,156691.666667,163191.666667,180458.333333,185591.666667
30068,287616.666667,293191.666667,313916.666667,340966.666667,359933.333333
30075,268316.666667,271825.0,297291.666667,331250.0,348466.666667
30076,223858.333333,221533.333333,238975.0,268383.333333,283891.666667
30080,158150.0,151766.666667,160266.666667,179800.0,192491.666667
30082,170291.666667,161350.0,173366.666667,194241.666667,208608.333333
30088,65466.666667,54658.333333,62150.0,78750.0,91541.666667
30092,242583.333333,235008.333333,258508.333333,283891.666667,288800.0
30093,79875.0,73066.666667,80166.666667,99466.666667,113016.66666700001
30094,125541.66666700001,116333.33333299999,117850.0,126441.66666700001,137808.333333
30096,137391.666667,127516.66666700001,139583.333333,161183.333333,168366.666667
30116,92425.0,89216.666667,91483.333333,109675.0,113458.33333299999
30122,83341.666667,87341.666667,80475.0,90708.333333,101608.333333
30144,139500.0,134800.0,143250.0,158500.0,170050.0
30157,97383.333333,91000.0,93033.333333,116100.0,123850.0
30188,145258.333333,147050.0,156475.0,168975.0,179825.0
30215,194616.666667,184758.333333,192891.666667,210750.0,220633.333333
30216,73650.0,74666.666667,70208.333333,80041.666667,75825.0
30238,52625.0,43791.666667000005,53883.333333,68150.0,78483.333333
30252,135966.666667,131475.0,153991.666667,161041.666667,169425.0
30259,130766.66666700001,129433.33333299999,132750.0,148183.333333,150608.333333
30268,99675.0,99008.333333,101425.0,122941.66666700001,127041.66666700001
30269,241033.333333,232200.0,243416.666667,258600.0,275400.0
30297,37850.0,33166.666667000005,37058.333332999995,45258.333332999995,51816.666667000005
30303,116033.33333299999,96808.333333,102241.666667,104291.666667,111833.33333299999
30305,358283.333333,362300.0,409983.333333,456016.666667,494458.333333
30314,52258.333332999995,47166.666667000005,44791.666667000005,44033.333332999995,45625.0
30318,106516.666667,105325.0,98416.666667,108083.33333299999,115716.66666700001
30328,271733.333333,272700.0,298475.0,342916.666667,358783.333333
30337,74783.333333,77725.0,81833.333333,91516.666667,101791.666667
